Feature_ID_j,p value,interaction Type,r_coef,Taxon_j,Confidence_j,Assignment_j,Info_j,Correct_New_No_consensus_j,j_BLAST,Feature_ID_i,Taxon_i,Confidence_i,Assignment_i,Info_i,Correct_New_No_consensus_i,i_BLAST,anonymized_name,j_VMH_match,i_VMH_match,j_AGORA,i_AGORA,j_AGORA_df_index,i_AGORA_df_index
3609545,0.00029997,negative,-0.53708325,f__Lachnospiraceae; g__[Eubacterium]_hallii_group,0.989981362,Silva,Bt producer,C,Anaerobutyricum hallii,4300690,o__Ruminococcaceae; g__Angelakisella; s__Angelakisella massiliensis,0.990999896,GG2,obesity-related dysbiosis,C,Angelakisella massiliensis,M02,Eubacterium hallii DSM 3353; Eubacterium hallii L2-7 ,Ruminococcus champanellensis 18P13,Eubacterium hallii DSM 3353 ,Ruminococcus champanellensis 18P13,255,112
3609545,0.00549945,positive,0.327035197,f__Lachnospiraceae; g__[Eubacterium]_hallii_group,0.989981362,Silva,Bt producer,C,Anaerobutyricum hallii,4447950,g__Bacteroides_H,0.899459934,GG2,health/lower bp associated,N,Bacteroides stercoris,M01,Eubacterium hallii DSM 3353; Eubacterium hallii L2-7 ,Bacteroides stercoris ATCC 43183,Eubacterium hallii DSM 3353 ,Bacteroides stercoris ATCC 43183,255,512
208479,0.00569943,positive,0.272530193,o__Bacteroidales; f__Marinifilaceae; g__Butyricimonas,0.999424721,GG2,"Bt producer, possibly helps with HFD-induced obesity and diabetes, increases GLP-1R",N,Butyricimonas virosa,4045886,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Fusicatenibacter; s__Fusicatenibacter saccharivorans,0.973445464,GG2,"IBD reduction, possibly health-associated",C,Fusicatenibacter saccharivorans,M01,Butyricimonas virosa DSM 23226,Clostridium bolteae ATCC BAA-613,Butyricimonas virosa DSM 23226,Clostridium bolteae ATCC BAA-613,569,70
208479,0.00389961,positive,0.281005078,o__Bacteroidales; f__Marinifilaceae; g__Butyricimonas,0.999424721,GG2,"Bt producer, possibly helps with HFD-induced obesity and diabetes, increases GLP-1R",N,Butyricimonas virosa,4327141,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781,0.986949461,GG2,"anti-inflammatory, ameliorates obesity and T2D",N,Blautia wexlerae,M01,Butyricimonas virosa DSM 23226,Blautia wexlerae DSM 19850,Butyricimonas virosa DSM 23226,Blautia wexlerae DSM 19850,569,578
208479,0.00279972,positive,0.301316819,o__Bacteroidales; f__Marinifilaceae; g__Butyricimonas,0.999424721,GG2,"Bt producer, possibly helps with HFD-induced obesity and diabetes, increases GLP-1R",N,Butyricimonas virosa,4478815,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus,0.973898248,GG2,Bt producer,C,Anaerostipes hadrus,M01,Butyricimonas virosa DSM 23226,Anaerostipes hadrus DSM 3319,Butyricimonas virosa DSM 23226,Anaerostipes hadrus DSM 3319,569,251
1803030,0.00739926,positive,0.205116021,f__Lachnospiraceae; g__Coprococcus_A_187866,0.728145,GG2,Bt producer,N,Coprococcus catus,4447950,g__Bacteroides_H,0.899459934,GG2,health/lower bp associated,N,Bacteroides stercoris,M01,Coprococcus catus GD/7,Bacteroides stercoris ATCC 43183,Coprococcus catus GD/7,Bacteroides stercoris ATCC 43183,101,512
4242681,0.00619938,positive,0.232580211,f__Lachnospiraceae; g__Bariatricus,0.780120039,GG2,Bt producer,N,Coprococcus comes,2407149,f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens,0.967036465,GG2,"anti-inflammatory, possible health benefits",C,Lachnospira eligens,M01,Coprococcus comes ATCC 27758,Eubacterium eligens ATCC 27750,Coprococcus comes ATCC 27758,Eubacterium eligens ATCC 27750,128,171
1504042,0.00779922,negative,-0.428094324,f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter welbionis,0.985153636,GG2,hot topic probiotic,C,Dysosmobacter welbionis,125624,f__Lachnospiraceae; g__UMGS1375; s__UMGS1375 sp900066615,0.88254003,GG2,(M.i.) acetate producer,NC,"[Ruminococcus] lactaris, Murimonas intestini, Mediterraneibacter sp.",F01,NA,,NA,,,
4423553,0.00989901,negative,-0.310638719,f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group; s__human_gut,0.829305238,GG2,cholesterol reduction,C,Eubacterium coprostanoligenes,176312,f__Lachnospiraceae; g__Lachnospiraceae_ND3007_group,0.986783646,Silva,,NC,"Anthropogastromicrobium aceti, Lachnospiraceae sp.",F01,,,,,,
4423553,0.00479952,negative,-0.34320422,f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group; s__human_gut,0.829305238,GG2,cholesterol reduction,C,Eubacterium coprostanoligenes,183829,f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group,0.969828048,Silva,cholesterol reduction,C,Eubacterium coprostanoligenes,F01,,,,,,
4423553,0.00809919,negative,-0.353337645,f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group; s__human_gut,0.829305238,Silva,cholesterol reduction,C,Eubacterium coprostanoligenes,2339949,f__Lachnospiraceae ,0.982356987,Silva,,N,Dorea longicatena,F01,,,,,,
4423553,0.00669933,negative,-0.299135684,f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group; s__human_gut,0.829305238,GG2,cholesterol reduction,C,Eubacterium coprostanoligenes,4217963,f__Lachnospiraceae,0.998797741,Silva,,NC,"Roseburia faecis, Agathobacter rectalis",F01,,,,,,
3398712,0.00339966,positive,0.250077964,f__Lachnospiraceae; g__Eubacterium_I,0.939549756,GG2,Bt producer,N,Eubacterium ramulus (ATCC),311947,f__Ruminococcaceae; g__Subdoligranulum,0.95763314,Silva,A.m. associated,NC,Faecalibacterium prausnitzii; Candidatus Gemmiger excrementipullorum; Gemmiger sp.; Subdoligranulum sp.,M01,Eubacterium ramulus ATCC 29099,Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium prausnitzii L2-6; Faecalibacterium prausnitzii M21/2; Faecalibacterium prausnitzii SL3/3,Eubacterium ramulus ATCC 29099,Faecalibacterium prausnitzii,454,111
4476527,0.00209979,negative,-0.590279174,f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii_C_71358,0.991112491,GG2,Bt producer,C,Faecalibacterium prausnitzii,4300690,f__Ruminococcaceae; g__Angelakisella; s__Angelakisella massiliensis,0.990999896,GG2,obesity-related dysbiosis,C,Angelakisella massiliensis,M02,Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium prausnitzii L2-6; Faecalibacterium prausnitzii M21/2; Faecalibacterium prausnitzii SL3/3,Ruminococcus champanellensis 18P13,Faecalibacterium prausnitzii,Ruminococcus champanellensis 18P13,111,112
311947,0.00229977,positive,0.224994794,f__Ruminococcaceae; g__Subdoligranulum,0.95763314,Silva,A.m. associated,NC,"Faecalibacterium prausnitzii, Candidatus Gemmiger excrementipullorum, Gemmiger sp., Subdoligranulum sp.",3907189,f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor sp900066565,0.835697963,GG2,(W.i.) possible probiotic,NC,"Waltera intestinalis, Waltera acetigignens",M01,Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium prausnitzii L2-6; Faecalibacterium prausnitzii M21/2; Faecalibacterium prausnitzii SL3/3,NA,Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium prausnitzii L2-6; Faecalibacterium prausnitzii M21/2; Faecalibacterium prausnitzii SL3/3,NA,,
4346675,0.00869913,positive,0.246927376,f__Ruminococcaceae; g__Subdoligranulum,0.990136459,Silva,butyric and lactic acid producer,N,Gemmiger formicilis,4476527,f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii_C_71358,0.991112491,GG2,Bt producer,C,Faecalibacterium prausnitzii,M01,NA,Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium prausnitzii L2-6; Faecalibacterium prausnitzii M21/2; Faecalibacterium prausnitzii SL3/3,NA,Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium prausnitzii L2-6; Faecalibacterium prausnitzii M21/2; Faecalibacterium prausnitzii SL3/3,,
4346675,0.00479952,negative,-0.33330204,f__Ruminococcaceae; g__Subdoligranulum,0.990136459,Silva,butyric and lactic acid producer,N,Gemmiger formicilis,4481613,f__Coriobacteriaceae; g__Collinsella; s__aerofaciens,NA,GG1,increases gut permeability,C,Collinsella aerofaciens,M01,NA,Collinsella aerofaciens ATCC 25986,NA,Collinsella aerofaciens ATCC 25986,,
4308835,0.00129987,negative,-0.709365277,f__Oscillospiraceae_88309; g__CAG-83; s__CAG-83 sp000431575,0.928366283,GG2,,NC,"Hominicoprocola fusiformis, mostly uncultured",145236, f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__human_gut,0.881289366,Silva,,NC,uncultured,M02,,,,,,
4308835,0.00389961,negative,-0.310699351,f__Oscillospiraceae_88309; g__CAG-83; s__CAG-83 sp000431575,0.928366283,GG2,,NC,"Hominicoprocola fusiformis, mostly uncultured",1504042,f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter welbionis,0.985153636,GG2,hot topic probiotic,C,Dysosmobacter welbionis,F01,,,,,,
4308835,0.00269973,negative,-0.498711873,f__Oscillospiraceae_88309; g__CAG-83; s__CAG-83 sp000431575,0.928366283,GG2,,NC,"Hominicoprocola fusiformis, mostly uncultured",2056702,f__Oscillospiraceae_88309; g__Vescimonas; s__,0.73616135,GG2,,,,F01,,,,,,
4308835,0.00589941,negative,-0.562614988,f__Oscillospiraceae_88309; g__CAG-83; s__CAG-83 sp000431575,0.928366283,GG2,,NC,"Hominicoprocola fusiformis, mostly uncultured",2771899,f__Oscillospiraceae_88309; g__CAG-83; s__CAG-83 sp900545585,0.911232933,GG2,,C,Oscillospiraceae sp.,M02,,,,,,
4308835,0.00619938,negative,-0.525652887,f__Oscillospiraceae_88309; g__CAG-83; s__CAG-83 sp000431575,0.928366283,GG2,,NC,"Hominicoprocola fusiformis, mostly uncultured",4300690,f__Ruminococcaceae; g__Angelakisella; s__Angelakisella massiliensis,0.990999896,GG2,obesity-related dysbiosis,C,Angelakisella massiliensis,M02,,,,,,
4308835,0.00539946,negative,-0.263698295,f__Oscillospiraceae_88309; g__CAG-83; s__CAG-83 sp000431575,0.928366283,GG2,,NC,"Hominicoprocola fusiformis, mostly uncultured",4327141,f__Lachnospiraceae; g__Blautia_A_141781,0.986949461,GG2,"anti-inflammatory, ameliorates obesity and T2D",N,Blautia wexlerae,F01,,,,,,
2407149,0.00809919,negative,-0.192361197,f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens,0.967036465,GG2,"anti-inflammatory, possible health benefits",C,Lachnospira eligens,4217963,f__Lachnospiraceae,0.999911554,GG2,,NC,"Roseburia faecis, Agathobacter rectalis",M01,,,,,,
2407149,0.0001,negative,-0.29632956,f__Lachnospiraceae; g__[Eubacterium]_hallii_group,0.990887604,GG2,"anti-inflammatory, possible health benefits",N,Lachnospira eligens,3931537,Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus,0.998184459,Silva,,NC,"Hominilimicola fabiformis, Acetivibrio thermocellus",M01,,,,,,
4434579,0.00029997,negative,-0.559469658,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp003447235,0.994685044,GG2,,N,Massiliprevotella massiliensis,145236,d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__human_gut,0.881289366,Silva,,NC,uncultured,M02,,,,,,
4434579,0.00509949,negative,-0.51610056,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp003447235,0.994685044,GG2,,N,Massiliprevotella massiliensis,173876,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Christensenellales; f__CAG-74; g__SFMI01; s__,0.981056951,GG2,,NC,uncultured,M02,,,,,,
4434579,0.00569943,negative,-0.392112162,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp003447235,0.994685044,GG2,,N,Massiliprevotella massiliensis,2771899,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-002,0.93467249,Silva,,C,Oscillospiraceae sp.,M02,,,,,,
4434579,0.00449955,negative,-0.371657956,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp003447235,0.994685044,GG2,,N,Massiliprevotella massiliensis,3138798,d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium_A; s__Phascolarctobacterium_A faecium,0.978946448,GG2,,,,M02,,,,,,
4434579,0.00029997,negative,-0.37676316,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp003447235,0.994685044,GG2,,N,Massiliprevotella massiliensis,4300690,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Angelakisella; s__Angelakisella massiliensis,0.990999896,GG2,obesity-related dysbiosis,C,Angelakisella massiliensis,M02,,,,,,
4454586,0.00829917,positive,0.206748062,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Odoribacter_865974; s__Odoribacter splanchnicus,0.992664375,GG2,"SCFA producer, potentially anti-inflammatory",C,Odoribacter splanchnicus,311947,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum,0.95763314,Silva,A.m. associated,NC,Faecalibacterium prausnitzii; Candidatus Gemmiger excrementipullorum; Gemmiger sp.; Subdoligranulum sp.,M01,"Odoribacter splanchnicus 1651/6, DSM 20712",Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium prausnitzii L2-6; Faecalibacterium prausnitzii M21/2; Faecalibacterium prausnitzii SL3/3,"Odoribacter splanchnicus 1651/6, DSM 20712",Faecalibacterium prausnitzii,503,111
181432,0.00109989,positive,0.291843421,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Paraprevotella; s__Paraprevotella clara,0.852172946,GG2,"protective, trypsin-degrading",C,Paraprevotella clara,4143073,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eisenbergiella; s__,0.943109633,GG2,"IBD reduction, possibly health-associated",N,Fusicatenibacter saccharivorans,M01,Paraprevotella clara YIT 11840,Clostridium bolteae ATCC BAA-613,Paraprevotella clara YIT 11840,Clostridium bolteae ATCC BAA-613,118,70
181432,0.00119988,positive,0.220772108,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Paraprevotella; s__Paraprevotella clara,0.852172946,GG2,"protective, trypsin-degrading",C,Paraprevotella clara,4242681,Firms; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__,NA,GG1,Bt producer,N,Coprococcus comes,M01,Paraprevotella clara YIT 11840,Coprococcus comes ATCC 27758,Paraprevotella clara YIT 11840,Coprococcus comes ATCC 27758,118,128
4468234,0.00079992,positive,0.260932622,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A_858004,0.981204568,GG2,protective,N,Phocaeicola vulgatus,3537197,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_ventriosum_group,0.836254489,Silva,loss associated with depression,C,Eubacterium ventriosum,M01,Bacteroides vulgatus ATCC 8482,Eubacterium ventriosum ATCC 27560,Bacteroides vulgatus ATCC 8482,Eubacterium ventriosum ATCC 27560,574,563
798581,0.00439956,positive,0.252351686,f__Ruminococcaceae; g__Ruminococcus; s__bromii,NA,GG1,"keytsone species, degredation of resistant starch (more than B. theta)",C,Ruminococcus bromii,4306262,g__Akkermansia; s__Akkermansia muciniphila_D_776786,0.994049008,GG2,PRO,C,Akkermansia muciniphila,F01,Ruminococcus bromii L2-63,Akkermansia muciniphila ATCC BAA-835,Ruminococcus bromii L2-63,Akkermansia muciniphila ATCC BAA-835,77,359
528865,0.00189981,positive,0.268476123,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group; s__metagenome,0.946382985,Silva,conflicting protective vs pathogenic evidence ,N,"Segatella copri, Prevotella copri",3537197,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_G,0.986195842,GG2,loss associated with depression,C,Eubacterium ventriosum,M01,"Prevotella copri CB7, DSM 18205",Eubacterium ventriosum ATCC 27560,"Prevotella copri CB7, DSM 18205",Eubacterium ventriosum ATCC 27560,133,563
528865,0.0000333,positive,0.340555345,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group; s__metagenome,0.946382985,Silva,conflicting protective vs pathogenic evidence ,N,"Segatella copri, Prevotella copri",3609545,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_hallii_group,0.989981362,Silva,Bt producer,C,Anaerobutyricum hallii,M01,"Prevotella copri CB7, DSM 18205",Eubacterium hallii DSM 3353; Eubacterium hallii L2-7 ,"Prevotella copri CB7, DSM 18205",Eubacterium hallii DSM 3353 ,133,255
528865,0.00049995,positive,0.263622914,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group; s__metagenome,0.946382985,Silva,conflicting protective vs pathogenic evidence ,N,"Segatella copri, Prevotella copri",4327141,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781,0.986949461,GG2,"anti-inflammatory, ameliorates obesity and T2D",N,Blautia wexlerae,M01,"Prevotella copri CB7, DSM 18205",Blautia wexlerae DSM 19850,"Prevotella copri CB7, DSM 18205",Blautia wexlerae DSM 19850,133,578
528865,0.00089991,positive,0.45900354,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group; s__metagenome,0.946382985,Silva,conflicting protective vs pathogenic evidence ,N,"Segatella copri, Prevotella copri",4346675,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum,0.990136459,Silva,butyric and lactic acid producer,N,Gemmiger formicilis,M01,"Prevotella copri CB7, DSM 18205",NA,"Prevotella copri CB7, DSM 18205",NA,,
528865,0.00529947,positive,0.214839183,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group; s__metagenome,0.946382985,Silva,conflicting protective vs pathogenic evidence ,N,"Segatella copri, Prevotella copri",4478815,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus,0.973898248,GG2,Bt producer,C,Anaerostipes hadrus,M01,"Prevotella copri CB7, DSM 18205",Anaerostipes hadrus DSM 3319,"Prevotella copri CB7, DSM 18205",Anaerostipes hadrus DSM 3319,133,251
841635,0.009999,positive,0.251916823,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales,0.923984397,Silva,sulfotransferase activity,N,Sutterella wadsworthensis,3609545,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_hallii_group,0.989981362,Silva,Bt producer,C,Anaerobutyricum hallii,M01,Sutterella wadsworthensis 3_1_45B,Eubacterium hallii DSM 3353; Eubacterium hallii L2-7 ,Sutterella wadsworthensis 3_1_45B,Eubacterium hallii DSM 3353 ,575,255
841635,0.00579942,positive,0.208152006,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales,0.923984397,Silva,sulfotransferase activity,N,Sutterella wadsworthensis,4327141,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781,0.986949461,GG2,"anti-inflammatory, ameliorates obesity and T2D",N,Blautia wexlerae,M01,Sutterella wadsworthensis 3_1_45B,Blautia wexlerae DSM 19850,Sutterella wadsworthensis 3_1_45B,Blautia wexlerae DSM 19850,575,578